名前,年月,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
エバデダンラリー,2022-04,パナソニックパンサーズ,23,3,3,1,6,12,8,1,66.7,58.3,0,0,0,1,15,0,2,3,4,3,1,9,,1.33,0.17,1.7,87.5
クビアクミハウ,2022-04,パナソニックパンサーズ,13,3,3,1,6,41,18,1,43.9,41.5,4,2,1,2,20,1,4,5,27,12,4,21,50.0,3.0,0.33,6.2,51.9
デアルマスアライン,2022-04,サントリーサンバーズ,7,3,3,0,4,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
ムセルスキードミトリー,2022-04,サントリーサンバーズ,13,3,3,0,6,74,41,9,55.4,43.2,29,13,7,2,23,2,4,10,0,0,0,45,44.8,6.83,0.33,15.2,
仲本賢優,2022-04,パナソニックパンサーズ,8,3,3,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
伊賀亮平,2022-04,パナソニックパンサーズ,16,3,3,1,6,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
佐藤謙次,2022-04,サントリーサンバーズ,12,3,3,0,2,0,0,0,,,0,0,0,0,3,0,0,1,0,0,0,0,,0.0,0.0,8.3,
喜入祥充,2022-04,サントリーサンバーズ,15,3,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
大塚達宣,2022-04,パナソニックパンサーズ,15,3,3,1,6,38,21,2,55.3,50.0,5,4,0,1,20,0,5,5,38,11,11,22,80.0,3.5,0.17,0.0,43.4
大宅真樹,2022-04,サントリーサンバーズ,9,3,3,0,6,0,0,0,,,0,0,0,2,21,0,4,4,0,0,0,2,,0.0,0.33,0.0,
大竹壱青,2022-04,パナソニックパンサーズ,4,3,3,1,2,3,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,,0.0,0.0,,100.0
小宮雄一郎,2022-04,パナソニックパンサーズ,22,3,3,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
小川猛,2022-04,サントリーサンバーズ,18,3,3,0,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
小野遥輝,2022-04,サントリーサンバーズ,3,3,3,0,6,19,12,1,63.2,57.9,0,0,0,2,22,0,4,4,3,1,0,14,,2.0,0.33,0.0,33.3
山内晶大,2022-04,パナソニックパンサーズ,10,3,3,1,6,13,8,1,61.5,53.8,0,0,0,3,18,1,1,6,1,1,0,12,,1.33,0.5,12.5,100.0
彭世坤,2022-04,サントリーサンバーズ,6,3,3,0,6,14,11,0,78.6,78.6,0,0,0,6,15,0,4,4,2,0,0,17,,1.83,1.0,0.0,0.0
新貴裕,2022-04,パナソニックパンサーズ,20,3,3,1,2,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
柳田将洋,2022-04,サントリーサンバーズ,8,3,3,0,6,33,16,3,48.5,39.4,11,9,1,0,21,2,4,3,20,7,8,18,81.8,2.67,0.0,8.3,55.0
永野健,2022-04,パナソニックパンサーズ,17,3,3,1,6,0,0,0,,,0,0,0,0,0,0,0,0,32,20,7,0,,0.0,0.0,,73.4
深津英臣,2022-04,パナソニックパンサーズ,2,3,3,1,6,1,1,0,100.0,100.0,0,0,0,1,27,0,1,7,0,0,0,2,,0.17,0.17,5.6,
清水邦広,2022-04,パナソニックパンサーズ,1,3,3,1,6,49,21,0,42.9,42.9,18,9,0,0,19,1,2,3,2,2,0,22,50.0,3.5,0.0,6.6,100.0
渡辺奏吾,2022-04,パナソニックパンサーズ,5,3,3,1,5,0,0,0,,,0,0,0,0,6,0,1,1,0,0,0,0,,0.0,0.0,0.0,
白澤健児,2022-04,パナソニックパンサーズ,6,3,3,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
秦耕介,2022-04,サントリーサンバーズ,11,3,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
藤中謙也,2022-04,サントリーサンバーズ,10,3,3,0,6,16,6,1,37.5,31.2,5,2,1,2,18,0,0,1,48,23,10,8,40.0,1.0,0.33,1.4,58.3
西田寛基,2022-04,サントリーサンバーズ,20,3,3,0,3,0,0,0,,,0,0,0,0,4,0,1,2,0,0,0,0,,0.0,0.0,6.2,
鍬田憲伸,2022-04,サントリーサンバーズ,22,3,3,0,1,0,0,0,,,0,0,0,0,1,0,1,0,0,0,0,0,,0.0,0.0,-25.0,
鶴田大樹,2022-04,サントリーサンバーズ,1,3,3,0,6,0,0,0,,,0,0,0,0,0,0,0,0,34,17,10,0,,0.0,0.0,,64.7
